,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
605,1.360.000 €,,,,"422,00 m²",,1990,Prodam,"Obalno-kraška, Koper, Koper",,,,,"522,00 m²",,,,,,Skupna cena,30.06.2022. ob 15:11,do prodaje,532 -krat,https://www.bolha.com/nepremicnine/hisa-koper-422-m2-prodaja-oglas-9616480,9616480,,,
606,145.000 €,,,,"88,00 m²",,1946,Prodam,"Savinjska, Celje, Ljubečna",,"Zidana hiša (beton, opeka)",Samostojna,"88,00 m²","4.809,00 m²",1980,Neopremljeno,brez pripadajočega parkirišča,,,Skupna cena,30.06.2022. ob 15:10,do prodaje,1373 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-celje-ljubecna-oglas-9616476,9616476,,PH00865MN,
607,159.000 €,,,,,6,1970,Prodam,"Podravska, Ptuj, Ptuj",Večnadstropna,,Samostojna,,,,,,,,Skupna cena,30.06.2022. ob 00:12,do prodaje,1493 -krat,https://www.bolha.com/nepremicnine/vzdrzevana-hisa-v-predmestju-ptuja-oglas-9607580,9607580,,490151040-93,G (210+ kWh/m²a)
608,250.000 €,,,,,,2015,Prodam,"Savinjska, Vojnik, Lešje",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"365,00 m²","5.938,00 m²",,,,,,Skupna cena,29.06.2022. ob 16:28,do prodaje,649 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-objekt-severno-objekta-z-naslovom-lesje-3a-oglas-9606467,9606467,,202210DL-AS,
609,370.000 €,,,,"232,00 m²",,2008,Prodam,"Savinjska, Vojnik, Lešje",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"348,00 m²","4.761,00 m²",,,,,,Skupna cena,29.06.2022. ob 15:22,do prodaje,498 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-lesje-232.00-m2-oglas-9606240,9606240,,202210DL-SS,D (60 - 105 kWh/m²a)
610,189.000 €,,,,"243,00 m²",,1978,Prodam,"Savinjska, Rogaška Slatina, Rogaška Slatina",,"Zidana hiša (beton, opeka)",Samostojna,"243,00 m²","1.336,00 m²",1985,Popolnoma opremljeno,,,,Skupna cena,29.06.2022. ob 15:12,do prodaje,779 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-rogaska-slatina-rogaska-slatina-oglas-9606185,9606185,,PH22901266859230IB,
611,279.900 €,,,,,5,2022,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",,,Samostojna,"215,20 m²","328,00 m²",,Neopremljeno,2,Terasa,Vrt/dvorišče,Skupna cena,29.06.2022. ob 15:11,do prodaje,680 -krat,https://www.bolha.com/nepremicnine/sentilj-sentilj-v-slov-goricah-hisa-samostojna-prodaja-oglas-9606168,9606168,Menjava za drugo nepremičnino ni možna,100195-176,
612,120.000 €,,,,"186,00 m²",4,1971,Prodam,"Podravska, Kidričevo, Lovrenc na Dravskem polju",,"Zidana hiša (beton, opeka)",Samostojna,"186,00 m²","788,00 m²",,Delno opremljeno,brez pripadajočega parkirišča,,,Skupna cena,29.06.2022. ob 15:11,do prodaje,1124 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-kidricevo-lovrenc-dravskem-polj-oglas-9606161,9606161,,PH38622240BM,
613,294.900 €,,,,"229,00 m²",,2022,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",,"Zidana hiša (beton, opeka)",Samostojna,"229,00 m²","355,00 m²",,,,,,Skupna cena,29.06.2022. ob 15:10,do prodaje,1000 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sentilj-sentilj-v-slov-goricah-oglas-9606155,9606155,,PH00409UL,
614,279.900 €,,,,"229,00 m²",,2022,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",,"Zidana hiša (beton, opeka)",Samostojna,"229,00 m²","312,00 m²",,,,,,Skupna cena,29.06.2022. ob 15:10,do prodaje,998 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sentilj-sentilj-v-slov-goricah-oglas-9606154,9606154,,PH00408UL,
615,259.900 €,,,,"188,00 m²",,2022,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",,"Zidana hiša (beton, opeka)",Samostojna,"188,00 m²","342,00 m²",,,,,,Skupna cena,29.06.2022. ob 15:10,do prodaje,860 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sentilj-sentilj-v-slov-goricah-oglas-9606153,9606153,,PH00407UL,
616,390.000 €,,,,,,2009,Prodam,"Osrednjeslovenska, Brezovica pri Ljubljani, Jezero",Enonadstropna,,Dvojček,"98,80 m²","226,00 m²",2017,,2,"Terasa, Atrij",,Skupna cena,29.06.2022. ob 07:12,do prodaje,417 -krat,https://www.bolha.com/nepremicnine/hisa-dvojcek-jezero-98.8-m2-oglas-9604699,9604699,,388,B2 (25 - 35 kWh/m²a)
617,65.000 €,,,,"60,00 m²",,1988,Prodam,"Podravska, Videm pri Ptuju, Spodnji Leskovec",,"Zidana hiša (beton, opeka)",Samostojna,,"2.995,00 m²",,,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,28.06.2022. ob 21:04,do prodaje,2871 -krat,https://www.bolha.com/nepremicnine/malo-hiso-v-blizini-leskovca-prodamo-oglas-9603743,9603743,,,
618,139.990 €,,,,"194,00 m²",5,2022,Prodam,"Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane",,"Zidana hiša (beton, opeka)",Samostojna,"194,00 m²","800,00 m²",,,,,,Skupna cena,28.06.2022. ob 15:13,do prodaje,2039 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sveta-trojica-v-slovenskih-gor-spo-oglas-9602550,9602550,,PH4647789MR,
619,150.015 €,,,,"194,00 m²",5,2022,Prodam,"Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane",,"Zidana hiša (beton, opeka)",Samostojna,"194,00 m²","800,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,28.06.2022. ob 15:13,do prodaje,851 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sveta-trojica-v-slovenskih-gor-spo-oglas-9602549,9602549,,PH4647790MR,
620,152.752 €,,,,"194,00 m²",5,2022,Prodam,"Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane",,"Zidana hiša (beton, opeka)",Samostojna,"194,00 m²","1.000,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,28.06.2022. ob 15:13,do prodaje,1108 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sveta-trojica-v-slovenskih-gor-spo-oglas-9602548,9602548,,PH4647791MR,
621,160.965 €,,,,"194,00 m²",5,2022,Prodam,"Podravska, Sv. Trojica v Slovenskih goricah, Spodnje Verjane",,"Zidana hiša (beton, opeka)",Samostojna,"194,00 m²","1.430,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,28.06.2022. ob 15:13,do prodaje,702 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sveta-trojica-v-slovenskih-gor-spo-oglas-9602547,9602547,,PH4647792MR,
622,595.000 €,,,,"170,00 m²",5,1990,Prodam,"Obalno-kraška, Koper, Kampel",,"Zidana hiša (beton, opeka)",Samostojna,"170,00 m²","976,00 m²",2021,,brez pripadajočega parkirišča,,,Skupna cena,28.06.2022. ob 15:13,do prodaje,973 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-kampel-oglas-9602545,9602545,,PH22901266859228GK,
623,180.000 €,,,,"229,00 m²",,1976,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",,"Zidana hiša (beton, opeka)",Samostojna,"229,00 m²","834,00 m²",,Delno opremljeno,brez pripadajočega parkirišča,,,Skupna cena,28.06.2022. ob 15:10,do prodaje,1448 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-sentilj-sentilj-v-slov-goricah-oglas-9602521,9602521,,PH00403UL,
624,249.000 €,,,,,6,2012,Prodam,"Podravska, Kungota, Pesnica",Večnadstropna,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,28.06.2022. ob 00:13,do prodaje,813 -krat,https://www.bolha.com/nepremicnine/soncna-hisa-v-objemu-narave-oglas-9600170,9600170,,490321063-16,D (60 - 105 kWh/m²a)
625,328.000 €,,,,,5,1870,Prodam,"Obalno-kraška, Koper, Osp",Dvonadstropna,Kamnita hiša,Samostojna,,,,,5,,Vrt/dvorišče,Skupna cena,28.06.2022. ob 00:11,do prodaje,861 -krat,https://www.bolha.com/nepremicnine/osp-255.7-m2-isterska-hisa-629-m2-zemljisca-prodamo-cena-328.000-oglas-9600166,9600166,,490111027-23,G (210+ kWh/m²a)
626,68.000 €,,,,"88,50 m²",2,2007,Prodam,"Podravska, Videm pri Ptuju, Belavšek",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,,,,,,,Skupna cena,27.06.2022. ob 15:18,do prodaje,1874 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-zgornji-leskovec-88.00-m2-oglas-9598667,9598667,,1504,
627,314.490 €,,,,"129,11 m²",,2022,Prodam,"Podravska, Maribor okolica, Kamnica",,,Dvojček,"129,11 m²",,,,brez pripadajočega parkirišča,,,Skupna cena,24.06.2022. ob 15:11,do prodaje,808 -krat,https://www.bolha.com/nepremicnine/maribor-kamnica-hisa-dvojcek-prodaja-oglas-9587135,9587135,Menjava za drugo nepremičnino ni možna,100233-26,
628,419.000 €,,,,"250,00 m²",2,1865,Prodam,"Osrednjeslovenska, Kamnik, Kamnik",Visokopritlična,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,"250,00 m²","391,00 m²",2002,,4,Terasa,Vrt/dvorišče,Skupna cena,24.06.2022. ob 11:30,do prodaje,534 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-kamnik-250.00-m2-oglas-9586434,9586434,,,EI v izdelavi
629,340.000 €,,,,"276,00 m²",,2009,Prodam,"Podravska, Maribor, Limbuš",,"Zidana hiša (beton, opeka)",Samostojna,"276,00 m²","864,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,23.06.2022. ob 15:12,do prodaje,1138 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-maribor-okolica-limbus-oglas-9584057,9584057,,PH4647773DS,
630,275.000 €,,,,"93,40 m²",,1874,Prodam,"Gorenjska, Bled, Bodešče",Enonadstropna,,,"308,70 m²","628,00 m²",1950,,,Balkon,,Skupna cena,23.06.2022. ob 14:00,do prodaje,856 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-bodesce-oglas-9583765,9583765,,66,
631,54.900 €,,,,,2,1987,Prodam,"Podravska, Sveti Tomaž, Sveti Tomaž",,,,,,,,,,Vrt/dvorišče,Skupna cena,23.06.2022. ob 00:13,do prodaje,18619 -krat,https://www.bolha.com/nepremicnine/prijazna-vikend-hiska-v-mirnem-okolju-oglas-9581979,9581979,,490321054-164,G (210+ kWh/m²a)
632,159.000 €,,,,,1,1890,Prodam,"Obalno-kraška, Koper, Koper",,,Samostojna,,,,,,,,Skupna cena,23.06.2022. ob 00:11,do prodaje,2627 -krat,https://www.bolha.com/nepremicnine/prodamo-simpaticno-vrstno-hiso-v-dekanih-koper-oglas-9581970,9581970,,490111023-102,G (210+ kWh/m²a)
633,600.000 €,,,,"329,00 m²",,2022,Prodam,"Podravska, Maribor, Pobrežje",,"Zidana hiša (beton, opeka)",Dvojček,"329,00 m²","517,00 m²",,,,,,Skupna cena,22.06.2022. ob 15:13,do prodaje,810 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-maribor-pobrezje-oglas-9580425,9580425,,PH22901266859220VB,
634,305.700 €,,,,"164,00 m²",,2022,Prodam,"Podravska, Maribor, Pobrežje",,"Zidana hiša (beton, opeka)",Dvojček,"164,00 m²","242,00 m²",,,,,,Skupna cena,22.06.2022. ob 15:13,do prodaje,510 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-maribor-pobrezje-oglas-9580424,9580424,,PH22901266859219VB,
635,308.000 €,,,,"164,00 m²",,2022,Prodam,"Podravska, Maribor, Pobrežje",,"Zidana hiša (beton, opeka)",Dvojček,"164,00 m²","275,00 m²",,,,,,Skupna cena,22.06.2022. ob 15:13,do prodaje,427 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-maribor-pobrezje-oglas-9580423,9580423,,PH22901266859218VB,
636,520.000 €,,,,"402,00 m²",,1932,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",,"Zidana hiša (beton, opeka)",Samostojna,"402,00 m²","485,00 m²",,,,,,Skupna cena,22.06.2022. ob 15:10,do prodaje,273 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-ljubljana-siska-siska-oglas-9580411,9580411,,PH01735ZH,
637,350.000 €,,,,"175,00 m²",,2002,Prodam,"Podravska, Maribor, Bresternica",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"308,00 m²",,,Delno opremljeno,2,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,22.06.2022. ob 13:58,do prodaje,771 -krat,https://www.bolha.com/nepremicnine/vecja-hiska-odlicni-lokaciji-oglas-9580178,9580178,,GALEA 2019/104,C (35 - 60 kWh/m²a)
638,310.000 €,,,,"165,00 m²",3,2022,Prodam,"Podravska, Maribor, Pobrežje",,"Zidana hiša (beton, opeka)",Dvojček,"165,00 m²","255,00 m²",,Neopremljeno,brez pripadajočega parkirišča,,,Skupna cena,22.06.2022. ob 08:03,do prodaje,943 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-maribor-pobrezje-oglas-9578965,9578965,,PH00405JR,
639,650.000 €,,,,"262,35 m²",,1995,Prodam,"Obalno-kraška, Koper, Koper",,,,,"1.800,00 m²",,,,,,Skupna cena,21.06.2022. ob 15:11,do prodaje,805 -krat,https://www.bolha.com/nepremicnine/hisa-koper-262.35-m2-prodaja-oglas-9576705,9576705,,,
640,520.000 €,,,,"402,00 m²",,1932,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"485,00 m²",,,,,,Skupna cena,21.06.2022. ob 11:13,do prodaje,231 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-zgornja-siska-402.00-m2-oglas-9575775,9575775,,,G (250 do 1000 kWh/m²a) - HR
641,199.000 €,,,,,4,1999,Prodam,"Podravska, Rače, Fram",Večnadstropna,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,21.06.2022. ob 00:12,do prodaje,581 -krat,https://www.bolha.com/nepremicnine/prijetna-dobro-vzdrzevana-hisa-iskani-lokaciji-oglas-9574178,9574178,,490321063-15,EI ni potrebna (334. člen EZ-1)
642,83.000 €,,,,"109,67 m²",,1928,Prodam,"Pomurska, Puconci, Puconci",Enonadstropna,,Samostojna,"169,60 m²","1.151,00 m²",,,,,,Skupna cena,20.06.2022. ob 09:38,do prodaje,3393 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-puconci-169.6-m2-oglas-9571171,9571171,,65,
643,279.800 €,,,,"172,00 m²",,1982,Prodam,"Obalno-kraška, Koper, Gabrovica pri Črnem Kalu",,"Zidana hiša (beton, opeka)",Samostojna,"172,00 m²","293,00 m²",2015,,,,,Skupna cena,18.06.2022. ob 00:19,do prodaje,681 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-juzna-primorska-koper-capodistria-gabrovica-oglas-9563421,9563421,,PH22901266859211MP,
644,389.000 €,,,,,6,1972,Prodam,"Goriška, Nova Gorica, Nova Gorica",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,18.06.2022. ob 00:13,do prodaje,1211 -krat,https://www.bolha.com/nepremicnine/krasna-dvostanovanjska-hisa-v-blizini-centra-mesta-oglas-9563406,9563406,,490371006-34,
645,139.000 €,,,,"115,10 m²",,1964,Prodam,"Pomurska, Gornja Radgona, Gornja Radgona",,,Samostojna,"177,20 m²","1.531,00 m²",,Neopremljeno,brez pripadajočega parkirišča,"Atrij, Terasa",Vrt/dvorišče,Skupna cena,17.06.2022. ob 15:11,do prodaje,1028 -krat,https://www.bolha.com/nepremicnine/gornja-radgona-hisa-samostojna-prodaja-oglas-9562079,9562079,Menjava za drugo nepremičnino ni možna,100186-85,F (150 - 210 kWh/m²a)
646,349.000 €,,,,"194,00 m²",6,1909,Prodam,"Goriška, Bovec, Log pod Mangartom",Enonadstropna,,Dvojček,,"378,00 m²",,Popolnoma opremljeno,4,,,Skupna cena,17.06.2022. ob 12:30,do prodaje,614 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-log-pod-mangartom-194.00-m2-oglas-9561521,9561521,,58,
647,240.000 €,,,,"187,30 m²",,1600,Prodam,"Gorenjska, Radovljica, Radovljica",Večnadstropna,,Samostojna,,"169,00 m²",1900,,,,,Skupna cena,17.06.2022. ob 09:36,do prodaje,760 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-radovljica-187.30-m2-oglas-9560965,9560965,,55,G (210+ kWh/m²a)
648,275.000 €,,,,"157,00 m²",,1930,Prodam,"Zasavska, Zagorje ob Savi, Zagorje ob Savi",Dvonadstropna,,Samostojna,,"450,00 m²",2010,,,,,Skupna cena,17.06.2022. ob 09:18,do prodaje,581 -krat,https://www.bolha.com/nepremicnine/zagorje-ob-savi-157.00-m2-oglas-9560913,9560913,,S119,
649,114.500 €,,,,"104,00 m²",,1900,Prodam,"Savinjska, Luče, Luče",,"Zidana hiša (beton, opeka)",Samostojna,"104,00 m²","144,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,17.06.2022. ob 00:19,do prodaje,1449 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-luce-luce-oglas-9560089,9560089,,PH22901266859209KR,
650,165.000 €,,,,"206,00 m²",,1922,Prodam,"Goriška, Miren, Miren",,"Zidana hiša (beton, opeka)",Ostalo,"206,00 m²","489,00 m²",2010,Delno opremljeno,,,,Skupna cena,17.06.2022. ob 00:16,do prodaje,1282 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-drugo-severna-primorska-miren-kostanjevica-miren-oglas-9560068,9560068,,KODA: P3146OR,
651,Po dogovoru,,,,"132,00 m²",1,1967,Prodam,"Podravska, Ptuj, Ptuj",Pritlična,,Samostojna,,"593,00 m²",,,,"Balkon, Terasa",,Skupna cena,16.06.2022. ob 19:49,do prodaje,10560 -krat,https://www.bolha.com/nepremicnine/hiso-ptuj-2-km-centra-samostojna-132-m2-prodamo-menjamo-z-oglas-2608457,2608457,,,EI v izdelavi
652,580.000 €,,,,"1.040,00 m²",1,2001,Prodam,"Podravska, Videm pri Ptuju, Videm pri Ptuju",Pritlična,,Samostojna,,"6.400,00 m²",,,,Terasa,Vrt/dvorišče,Skupna cena,16.06.2022. ob 19:48,do prodaje,1718 -krat,https://www.bolha.com/nepremicnine/penzion-ptuj-okolica-ob-reki-blizu-avtoceste-1040-m2-prodamo-oglas-2608458,2608458,,,
653,85.000 €,,,,"100,00 m²",,1945,Prodam,"Podravska, Ptuj, Ptuj",Pritlična,,Stanovanjsko-poslovna,,"1.440,00 m²",,,,,,Skupna cena,16.06.2022. ob 19:47,do prodaje,8099 -krat,https://www.bolha.com/nepremicnine/hisa-nadomestno-gradnjo-1-km-ptuja-pritlicna-100.00-m2-prodamo-oglas-4878519,4878519,,,
654,279.000 €,,,,"201,00 m²",4,2008,Prodam,"Podravska, Ptuj, Ptuj",Pritlična,,Atrijska,"149,00 m²","909,00 m²",,,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,16.06.2022. ob 12:32,do prodaje,1729 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-201.00-m2-oglas-9557875,9557875,,H188/2022,EI v izdelavi
655,259.000 €,,,,,,1982,Prodam,"Podravska, Šentilj v Slovenskih goricah, Ceršak",,,Samostojna,"189,60 m²","1.764,00 m²",2018,,,,,Skupna cena,16.06.2022. ob 09:25,do prodaje,3185 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-selnica-ob-muri-dvonadstropna-oglas-6331310,6331310,,5197,
656,451.000 €,,,,,8,1967,Prodam,"Gorenjska, Bled, Bled",Večnadstropna,,Samostojna,,,,,4,,,Skupna cena,16.06.2022. ob 00:14,do prodaje,677 -krat,https://www.bolha.com/nepremicnine/stanovanjska-stavba-razdeljena-tri-enote-oglas-9556291,9556291,,490361001-232,F (150 - 210 kWh/m²a)
657,880.000 €,,,,,5,1939,Prodam,"Savinjska, Celje, Celje",,Kamnita hiša,Samostojna,,,,,,,"Bazen, Vrt/dvorišče",Skupna cena,16.06.2022. ob 00:12,do prodaje,851 -krat,https://www.bolha.com/nepremicnine/vila-druzinska-hisa-miklavski-hrib-celje-oglas-9556289,9556289,,490281025-68,F (150 - 210 kWh/m²a)
658,575.000 €,,,,"231,10 m²",,1968,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Vrhovci",,,Samostojna,,"483,00 m²",2002,,,,,Skupna cena,15.06.2022. ob 15:56,do prodaje,423 -krat,https://www.bolha.com/nepremicnine/vrhovci-231.00-m2-oglas-9554973,9554973,,S118,
659,438.000 €,,,,"227,60 m²",,1977,Prodam,"Savinjska, Prebold, Kaplja vas",,,Samostojna,,"11.506,00 m²",,,,,,Skupna cena,15.06.2022. ob 13:35,do prodaje,753 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-prebold-kaplja-vas-227.6-m2-oglas-9554479,9554479,,,
660,218.000 €,,,,"298,00 m²",,1920,Prodam,"Podravska, Maribor, Tabor",,"Zidana hiša (beton, opeka)",Samostojna,"298,00 m²","470,00 m²",2010,,,,,Skupna cena,15.06.2022. ob 00:34,do prodaje,1740 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-maribor-tabor-oglas-9552991,9552991,,PH22901266859206VB,
661,65.000 €,,,,"263,00 m²",,1901,Prodam,"Goriška, Nova Gorica, Čepovan",,"Zidana hiša (beton, opeka)",Samostojna,"263,00 m²","23.134,00 m²",,,,,,Skupna cena,15.06.2022. ob 00:17,do prodaje,1170 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-severna-primorska-gorica-cepovan-oglas-9552445,9552445,,KODA: P4146LO,
662,49.000 €,,,,,2,1989,Prodam,"Posavska, Brežice, Brežice",,,Samostojna,,,,,1,,,Skupna cena,15.06.2022. ob 00:13,do prodaje,890 -krat,https://www.bolha.com/nepremicnine/pocitniska-hisa-v-cateskih-toplicah-oglas-9552430,9552430,,490341002-579,
663,159.000 €,,,,,6,1964,Prodam,"Savinjska, Braslovče, Braslovče",,,Samostojna,,,,,,,,Skupna cena,15.06.2022. ob 00:13,do prodaje,1541 -krat,https://www.bolha.com/nepremicnine/vecja-hisa-odlicni-lokaciji-braslovce-oglas-9552417,9552417,,490281030-50,E (105 - 150 kWh/m²a)
664,99.000 €,,,,,4,1780,Prodam,"Podravska, Kungota, Pesnica",,,Samostojna,,,,,,,,Skupna cena,15.06.2022. ob 00:12,do prodaje,1289 -krat,https://www.bolha.com/nepremicnine/prodamo-starejso-hiso-z-vecjim-zemljiscem-oglas-9552412,9552412,,490151001-1014,
665,338.000 €,,,,,5,1999,Prodam,"Obalno-kraška, Koper, Škofije",Dvonadstropna,,Samostojna,,,,,1,,,Skupna cena,15.06.2022. ob 00:11,do prodaje,640 -krat,https://www.bolha.com/nepremicnine/koper-zgornje-skofije-104.7-m2-hisa-prodamo-oglas-9552411,9552411,,490111027-22,C (35 - 60 kWh/m²a)
666,94.000 €,,,,"553,00 m²",,1910,Prodam,"Posavska, Brežice, Dobova",,,,"553,00 m²","2.394,00 m²",1940,,brez pripadajočega parkirišča,,,Skupna cena,14.06.2022. ob 15:11,do prodaje,928 -krat,https://www.bolha.com/nepremicnine/brezice-dobova-hisa-ostalo-prodaja-oglas-9550892,9550892,Menjava za drugo nepremičnino ni možna,101206-57,F (150 - 210 kWh/m²a)
667,490.000 €,,,,"284,70 m²",,2007,Prodam,"Osrednjeslovenska, Brezovica pri Ljubljani, Preserje",,,Samostojna,,"961,00 m²",,,,,,Skupna cena,14.06.2022. ob 13:14,do prodaje,574 -krat,https://www.bolha.com/nepremicnine/brezovica-preserje-284.00-m2-oglas-9550410,9550410,,S117,
668,100.000 €,,,,"48,00 m²",10+,1930,Prodam,"Goriška, Brda, Vipolže",,,Ostalo,"48,00 m²","1.865,00 m²",,,,,,Skupna cena,14.06.2022. ob 00:16,do prodaje,826 -krat,https://www.bolha.com/nepremicnine/hisa-rusevina-vipolze-100.000.00-oglas-9548678,9548678,,4750-H-2022,Ni možno izdati
669,250.000 €,,,,,2,1993,Prodam,"Savinjska, Polzela, Polzela",,,Samostojna,,,,,7+,,,Skupna cena,14.06.2022. ob 00:12,do prodaje,934 -krat,https://www.bolha.com/nepremicnine/enodruzinska-hisa-poslovnim-prostorom-polzela-oglas-9548669,9548669,,490281024-108,
670,980.000 €,,,,,,2020,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Moste",,,Samostojna,"390,00 m²","401,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,13.06.2022. ob 15:11,do prodaje,266 -krat,https://www.bolha.com/nepremicnine/ljubljana-moste-hisa-samostojna-prodaja-oglas-9546885,9546885,Menjava za drugo nepremičnino ni možna,101206-52,
671,170.000 €,,,,"150,00 m²",6,1998,Prodam,"Osrednjeslovenska, Ivančna Gorica, Temenica",Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,"150,00 m²","2.000,00 m²",2001,Delno opremljeno,5,Balkon,"Vrt/dvorišče, Žar",Skupna cena,13.06.2022. ob 11:35,do prodaje,1453 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-gradisce-k-grad-in-polj-150.00-m2-oglas-9546048,9546048,Možna menjava za drugo nepremičnino,,B2 (25 - 35 kWh/m²a)
672,198.000 €,,,,"200,00 m²",,2013,Prodam,"Podravska, Oplotnica, Oplotnica",,"Zidana hiša (beton, opeka)",Samostojna,"200,00 m²","7.181,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,13.06.2022. ob 00:15,do prodaje,1464 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-oplotnica-oplotnica-oglas-9544745,9544745,,PH38622230PV,
673,95.000 €,,,,"97,00 m²",3,1920,Prodam,"Podravska, Ormož, Ormož",Pritlična,,Samostojna,,"2.900,00 m²",2018,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,11.06.2022. ob 11:34,do prodaje,2868 -krat,https://www.bolha.com/nepremicnine/ormoz-3-km-prodamo-obnovljeno-pritlicno-hiso-oglas-9538856,9538856,,,EI v izdelavi
674,297.000 €,,,,"115,00 m²",3,1900,Prodam,"Obalno-kraška, Piran, Padna",,"Zidana hiša (beton, opeka)",,"115,00 m²",,2019,Popolnoma opremljeno,,,,Skupna cena,11.06.2022. ob 00:19,do prodaje,713 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-juzna-primorska-piran-pirano-padna-oglas-9537567,9537567,,PH22901266859204SR,
